1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39
-4.9,-2.7,-0.5,1.7,3.9,6.1,8.3,10.5,12.7,14.9,17.1,19.3,21.5,23.7,25.9,28.1,30.3,32.5,34.7,36.9
-4.9,-2.7,-0.5,1.7,3.9,6.1,8.3,10.5,12.7,14.9,17.1,19.3,21.5,23.7,25.9,28.1,30.3,32.5,34.7,36.9
-2.85,-0.55,1.75,4.05,6.35,8.65,10.95,13.25,15.55,17.85,20.15,22.45,24.75,27.05,29.35,31.65,33.95,36.25,38.55,40.85
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
-2.85,-0.55,1.75,4.05,6.35,8.65,10.95,13.25,15.55,17.85,20.15,22.45,24.75,27.05,29.35,31.65,33.95,36.25,38.55,40.85
-4.8,-2.4,8.88178419700125e-16,2.4,4.8,7.2,9.6,12,14.4,16.8,19.2,21.6,24,26.4,28.8,31.2,33.6,36,38.4,40.8
-4.8,-2.4,8.88178419700125e-16,2.4,4.8,7.2,9.6,12,14.4,16.8,19.2,21.6,24,26.4,28.8,31.2,33.6,36,38.4,40.8
-2.8,-0.399999999999999,2,4.4,6.8,9.2,11.6,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2,35.6,38,40.4,42.8
-2.8,-0.399999999999999,2,4.4,6.8,9.2,11.6,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2,35.6,38,40.4,42.8
-2.8,-0.399999999999999,2,4.4,6.8,9.2,11.6,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2,35.6,38,40.4,42.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.15,5.45,7.75,10.05,12.35,14.65,16.95,19.25,21.55,23.85,26.15,28.45,30.75,33.05,35.35,37.65,39.95,42.25,44.55,46.85
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.2,3.6,6,8.4,10.8,13.2,15.6,18,20.4,22.8,25.2,27.6,30,32.4,34.8,37.2,39.6,42,44.4,46.8
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
-1,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37
-2.95,-0.85,1.25,3.35,5.45,7.55,9.65,11.75,13.85,15.95,18.05,20.15,22.25,24.35,26.45,28.55,30.65,32.75,34.85,36.95
-2.95,-0.85,1.25,3.35,5.45,7.55,9.65,11.75,13.85,15.95,18.05,20.15,22.25,24.35,26.45,28.55,30.65,32.75,34.85,36.95
-4.9,-2.7,-0.5,1.7,3.9,6.1,8.3,10.5,12.7,14.9,17.1,19.3,21.5,23.7,25.9,28.1,30.3,32.5,34.7,36.9
-4.9,-2.7,-0.5,1.7,3.9,6.1,8.3,10.5,12.7,14.9,17.1,19.3,21.5,23.7,25.9,28.1,30.3,32.5,34.7,36.9
-2.9,-0.7,1.5,3.7,5.9,8.1,10.3,12.5,14.7,16.9,19.1,21.3,23.5,25.7,27.9,30.1,32.3,34.5,36.7,38.9
-0.9,1.3,3.5,5.7,7.9,10.1,12.3,14.5,16.7,18.9,21.1,23.3,25.5,27.7,29.9,32.1,34.3,36.5,38.7,40.9
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
-2.85,-0.55,1.75,4.05,6.35,8.65,10.95,13.25,15.55,17.85,20.15,22.45,24.75,27.05,29.35,31.65,33.95,36.25,38.55,40.85
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
-0.8,1.6,4,6.4,8.8,11.2,13.6,16,18.4,20.8,23.2,25.6,28,30.4,32.8,35.2,37.6,40,42.4,44.8
-0.85,1.45,3.75,6.05,8.35,10.65,12.95,15.25,17.55,19.85,22.15,24.45,26.75,29.05,31.35,33.65,35.95,38.25,40.55,42.85
-2.8,-0.399999999999999,2,4.4,6.8,9.2,11.6,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2,35.6,38,40.4,42.8
-0.8,1.6,4,6.4,8.8,11.2,13.6,16,18.4,20.8,23.2,25.6,28,30.4,32.8,35.2,37.6,40,42.4,44.8
-0.8,1.6,4,6.4,8.8,11.2,13.6,16,18.4,20.8,23.2,25.6,28,30.4,32.8,35.2,37.6,40,42.4,44.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
3.2,5.6,8,10.4,12.8,15.2,17.6,20,22.4,24.8,27.2,29.6,32,34.4,36.8,39.2,41.6,44,46.4,48.8
1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75
