5,25,134,330,834,2289,2572,1977,1799,1661,1462,1495,1069,883,552,251,88,57,32,5
8,27,143,341,840,2288,2515,1933,1827,1601,1479,1509,1055,893,558,294,111,55,36,7
13,42,160,340,863,2260,2406,1879,1858,1568,1422,1556,1051,929,570,354,135,56,42,16
30,83,208,357,1023,2172,1988,1691,1836,1502,1349,1447,1140,1003,735,459,255,126,63,53
67,123,227,379,1140,2071,1809,1576,1692,1456,2745,1087,1052,816,555,329,193,97,64,42
118,163,236,449,1217,2003,3072,1529,1449,1255,1328,1102,993,1572,418,254,183,93,62,24
78,102,160,311,1855,1842,1462,1311,2825,1203,1263,1031,1863,747,551,351,388,89,65,23
53,74,130,479,643,1394,3086,1219,1291,1332,2312,1005,969,1644,573,463,544,145,80,84
90,102,369,317,701,3034,1283,1138,2486,1054,1119,1890,861,791,1107,399,308,319,72,80
61,82,248,256,1154,1519,2637,1084,2410,1000,1041,1806,801,1468,506,737,296,282,70,62
45,150,100,465,542,2404,1363,2112,1193,2073,1849,848,1582,647,920,370,524,153,131,49
25,146,92,419,399,1911,2576,1025,2283,970,1863,1642,741,1326,476,751,529,161,132,53
16,122,193,201,797,2190,1351,2011,2204,933,1768,1598,1402,597,850,628,260,279,91,29
37,126,256,208,893,2372,1205,1956,2140,889,1733,1560,1363,580,838,665,256,312,98,33
23,120,200,193,786,2054,1352,1929,2210,929,1732,1567,1421,603,906,667,271,381,125,51
7,28,162,346,845,2265,2467,1927,1838,1600,1425,1545,1057,899,566,315,126,51,43,8
8,41,168,342,866,2258,2400,1881,1856,1584,1416,1558,1048,922,574,347,137,56,43,15
30,77,198,356,987,2187,2023,1731,1832,1532,1355,1457,1121,1003,714,446,241,116,68,46
58,91,226,369,1096,2095,1873,1630,1739,1493,1366,1391,1092,1063,767,548,275,187,82,79
82,157,217,423,1157,2045,1687,1566,1591,1468,2670,1110,1010,862,621,363,219,134,83,55
124,177,257,474,1259,1929,2988,1461,1421,1258,1321,1100,990,1583,484,271,201,111,71,40
85,111,159,321,1859,1821,1439,1303,2772,1183,1242,1038,1872,746,561,389,426,93,69,31
55,80,291,328,639,3075,1376,1196,2639,1096,1184,1976,869,782,1044,332,224,241,61,32
90,102,373,303,699,3032,1285,1126,2481,1059,1114,1906,862,781,1116,407,308,320,76,80
59,77,239,264,1124,1509,2649,1090,2420,1002,1023,1839,815,1467,511,737,299,269,66,61
41,149,108,463,555,2446,1357,2128,1216,2058,1864,873,1552,649,900,357,514,127,123,40
80,177,177,600,642,2812,1086,2120,1204,1944,1745,847,1437,606,877,341,530,124,124,47
