opt_wo_fval,opt_wo_vio,opt_wo_sohmin,opt_wo_mttfmin,opt_wo_time,opt_fval,opt_vio,opt_sohmin,opt_mttfmin,opt_time,rdtsh_fval,rdtsh_vio,rdtsh_sohmin,rdtsh_mttfmin,rdtsh_time,tsh_fval,tsh_vio,tsh_sohmin,tsh_mttfmin,tsh_time,srigh_fval,srigh_vio,srigh_sohmin,srigh_mttfmin,srigh_time
30,0.566666666666667,0.854460973169024,0.835904895716387,1.01879312,36,0.138888888888889,0.899980370613191,0.903130975634866,1.648546532,32,0,0.900672733404111,0.915083249247045,0.016506024,36,0.0416666666666667,0.881105497431999,0.865434225869658,0.01463896,16,0.875,6.35238850731277e-16,0.217285997294408,0.244265923
35,0.7,0.856753608505886,0.835467085415357,1.199693358,43,0.0930232558139535,0.899982609494639,0.902702476251446,3.110326032,42,0,0.90524421851662,0.919792560749038,0.017475898,49,0.0510204081632653,0.881213120271846,0.867348724526109,0.017918,21,0.80952380952381,2.55701833384488e-15,0.216328327850554,0.308055269
37,0.540540540540541,0.857201177596068,0.837087407583008,6.446617212,43,0.104651162790698,0.899984780229015,0.902612122349851,5.531312779,36,0,0.90862942960179,0.929871375855309,0.018956937,43,0.0465116279069767,0.892610211849373,0.89294880621567,0.017940311,21,0.761904761904762,0.028718023937569,0.389107940334851,0.394255443
42,0.761904761904762,0.857201177596068,0.837251669555148,4.365023062,60,0.158333333333333,0.899979839045024,0.901788539041951,16.399103227,44,0,0.904097262643012,0.920867873276652,0.019034986,49,0.0510204081632653,0.881642299516488,0.874007964744406,0.01705218,23,0.739130434782609,2.82740607055198e-09,0.252748225707092,0.428688647
31.9999999999724,0.453125000000391,0.86295726917332,0.8405404624681,1.504520967,38,0.157894736842105,0.899982637091018,0.901788539041951,2.891068487,36,0.0277777777777778,0.895289941009128,0.897690497674594,0.019272518,45,0.0666666666666667,0.893072444396821,0.888310622517184,0.017357691,19,0.710526315789474,0.303324190097727,0.507536823078148,0.351629005
33.9999999999957,0.764705882353039,0.85675360850851,0.835467085419349,1.076176394,47,0.148936170212766,0.899979839045024,0.900504711436766,4.038393712,32,0,0.905761502603484,0.918031948892322,0.018286394,37,0.0405405405405405,0.889598955063201,0.887099588369389,0.015840717,18,0.833333333333333,3.20594058185662e-30,0.184745600598005,0.333086828
34,0.617647058823529,0.86055802767098,0.838753240244352,2.487813198,38,0.118421052631579,0.899982637091018,0.902655592480542,3.224234155,36,0.0416666666666667,0.878971391321184,0.864248540591046,0.018735948,39,0.0641025641025641,0.878971391321184,0.864248540591046,0.017020513,19,0.894736842105263,0.00167663750752525,0.335196407059174,0.347251054
31,0.709677419354839,0.855512861390355,0.837264081455456,1.082586364,43.9999999999978,0.170454545454554,0.89998041608159,0.902655592480542,5.325363037,31,0,0.905741781547591,0.919280546450319,0.019006617,40,0.05,0.869986235291984,0.861244818896165,0.016776461,18,0.666666666666667,7.23099657283873e-319,0.105561663633526,0.348540849
32,0.65625,0.858523729969683,0.838093584320331,1.45098563,47,0.127659574468085,0.899979839045024,0.902862639360852,3.493993585,30,0,0.904446215067859,0.918704619745584,0.018144516,37,0,0.901282895271084,0.919948282570787,0.016033042,18,0.833333333333333,3.48587817087402e-08,0.258516537784583,0.323106795
31,0.483870967741935,0.862912243949514,0.841287627785533,2.777762838,37,0.135135135135135,0.899982609494639,0.901913837407058,3.319377438,37,0,0.91072648352759,0.934813558124431,0.017940791,41,0.0365853658536585,0.881627535646167,0.866395435316285,0.016236126,18,0.833333333333333,0.0485356826079871,0.404926596767234,0.350007383
33,0.46969696969697,0.860799794535345,0.84093112542322,2.652922751,36.9999999999789,0.121621621621691,0.899982609494639,0.902655592480542,1.08052215,38,0,0.902259787061227,0.920683565385398,0.017897157,43,0.104651162790698,0.881521152601117,0.867857606684676,0.015780836,20,0.85,1.22527350946424e-14,0.220396239660253,0.331757013
37,0.648648648648649,0.858523729969683,0.838217246755882,5.644507869,43,0.127906976744186,0.899982609494639,0.901913837407058,5.983663313,45,0,0.905788665785899,0.93184508193587,0.019123267,43,0.0813953488372093,0.880393697207401,0.869104225818808,0.017201907,21,0.928571428571429,0.102441749687309,0.433260236223802,0.392003081
39,0.653846153846154,0.859895256270045,0.839991905819437,3.323239288,53,0.160377358490566,0.899979839045024,0.901432083926859,3.36035404,40,0.0125,0.899510689899761,0.918482632375674,0.019876904,50,0.02,0.872696840614241,0.851129860593037,0.018291921,20,0.825,0.0510193744201266,0.406579029050864,0.391533757
36,0.722222222222222,0.856661660695676,0.835327219029928,3.949127029,47,0.191489361702128,0.899980370613191,0.902801612207879,5.012930995,37,0,0.902969028745007,0.923018652009774,0.019664976,44,0.0454545454545455,0.886140278168617,0.891532594182905,0.016958299,17,0.823529411764706,5.52642348490939e-23,0.195673876732457,0.342135871
40,0.6625,0.858523729969683,0.838011660069794,6.917164004,57,0.166666666666667,0.899979839045024,0.900036388037898,5.51591632,40,0,0.909284032415711,0.93184508193587,0.020846306,50,0.02,0.880512560845977,0.8693241143464,0.018919886,21,0.80952380952381,0.0235903677412118,0.381067750819626,0.412333429
33,0.651515151515151,0.858615352336448,0.838093584320331,0.971620735,42,0.119047619047619,0.899981616039091,0.902655592480542,4.133761992,31,0,0.905788665785899,0.934497114484428,0.020227626,40,0.05,0.886368148190397,0.875553179029718,0.01736527,19,0.789473684210526,8.09898844745576e-05,0.303435359759511,0.371071851
32,0.625,0.859618171375923,0.839560084474094,4.080056253,37,0.148648648648649,0.899981616039091,0.902702476251446,3.545945249,32,0.03125,0.890031214094661,0.884459427313214,0.020585307,43,0.0465116279069767,0.888680155959833,0.881744445958591,0.018514971,21,0.857142857142857,2.8285096950432e-06,0.278541559374142,0.415155983
33,0.515151515151515,0.858615352333436,0.840577825341078,1.320373869,38,0.118421052631579,0.899982609494639,0.902862639360852,1.784421877,34,0,0.906512966204084,0.921014222072885,0.020669336,35,0.142857142857143,0.881291902535786,0.86613458818689,0.018533721,18,0.777777777777778,1.95547075497559e-08,0.25886035792839,0.384964664
27,0.62962962962963,0.862021732442253,0.838011660069794,0.970103168,32,0.171875,0.899982609494639,0.902655592480542,4.558941153,34,0,0.90524421851662,0.919792560749038,0.018712448,32,0.09375,0.877661380025371,0.860833654521027,0.016452542,16,0.6875,0.26361623613183,0.494111509513297,0.327181931
39,0.615384615384615,0.858523729969683,0.838631853022127,3.238218976,52,0.173076923076923,0.899979839045024,0.900036388037898,3.739758486,32,0,0.908340882785794,0.923081659918436,0.019758818,43,0.0348837209302326,0.898939953346655,0.902596979202564,0.017362059,21,0.761904761904762,1.11879011963891e-51,0.16417301566206,0.416849124
27,0.62962962962963,0.859618171375923,0.839560084474094,1.256389295,31,0.17741935483871,0.899982637091018,0.901788539041951,0.645673746,24,0,0.906062842533434,0.923195543602286,0.016744515,26,0.0769230769230769,0.874954343344783,0.856195815750608,0.014052681,13,0.846153846153846,4.26790104454554e-16,0.218817686225583,0.26591092
32,0.71875,0.859371730298984,0.838093584320331,1.104537777,41,0.121951219512195,0.899981616039091,0.901788539041951,3.158995581,35,0,0.90596234986155,0.920142397802266,0.018746983,38,0.0263157894736842,0.879388196244068,0.866158711826778,0.016686016,21,0.714285714285714,0.298280869409959,0.505860001522589,0.392873967
41,0.74390243902439,0.859618171375923,0.838011660069794,3.807378581,55,0.181818181818182,0.899979839045024,0.901788539041951,5.200716924,39,0,0.903250688458846,0.919822815786577,0.021161181,44,0.0454545454545455,0.882295528228202,0.866551692311075,0.019178923,19,0.736842105263158,5.83196069423339e-09,0.25716670443518,0.386450613
40,0.675,0.858746932026032,0.838093584320331,3.49929315,49,0.173469387755102,0.899979839045024,0.900504711436766,4.498931828,37,0,0.904446215067859,0.910955035285132,0.021835135,42,0.0119047619047619,0.899510689899761,0.910955035285132,0.01843978,22,0.772727272727273,3.37549646668383e-44,0.170393504412041,0.451645855
32,0.53125,0.865153450568483,0.842866618514272,1.934158685,38,0.144736842105263,0.899981616039091,0.902628692099269,1.273740285,30,0,0.905699832388296,0.92517049464385,0.018115995,39,0.0128205128205128,0.899587192746768,0.91935766489331,0.016357851,19,0.789473684210526,0.00775293760910352,0.359008347984873,0.359894982
31,0.67741935483871,0.859371730298984,0.837087407583008,0.780192018,43,0.104651162790698,0.899982202296831,0.905700243470609,3.451426019,39,0,0.900445089434205,0.914135489812794,0.019071832,33,0.0454545454545455,0.894446990751519,0.90348584405429,0.016915697,19,0.789473684210526,0.00328842762311161,0.338923816666287,0.363623006
